SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
John R Fell (1901),,Penna Tru,Schooner,1880,"Bath, ME",########,1901,1,12,Barnegat NE 5 mi,,,,,Collision,Wood,US,131.8,34.1,10.4,354.2,336.49,Philadelp,Wilmingt,"New York,",W W Willi,7,,0,"$5,000","$6,500",450 ton lumber,,N,N,#76125; Slight damage,
John R Wi,W B Keen,Great Lak,Tug,1913,Port Rich,########,1942,6,24,Cape May,,,38-45-00,74-55-00,Struck mi,Steel,US,136.7,27.6,14.7,396,269,"New York,",Delaware,Cape May,Roy Allen,18,,14,,,,,Y,N,#211696; Total loss,
John Roach,,,Schooner,,,2/2/1881,1881,2,2,Absecon Inlet South bar,,,,,Stranded in ice,,,,,,30,,Greenpor,"New York,",Fishing tri,Darby,8,,0,"$2,200",,,Atlantic Ci,Y,N,Total loss,
John Rowlett,,,Schooner,,,12/27/183,1839,12,27,Cape May Light W 4 mi,,,,,Grounded,,US,,,,,,Baltimore,Baltimore,"New York, NY",,,,0,,,,,,N,,
John Russell,,,Schooner,1898,"Leesburg,",########,1901,1,19,Cold Spring E 2.5 mi,,,,,Stranded,Wood,,107,27,6.6,156,146,Bridgeton,Bogue Inl,New Have,Thomas,6,,0,"$10,000","$1,800",Lumber,Cold Sprin,N,N,#77287; Refloated; Towed to Delaware Breakwater,
John S Detweiler,,,Schooner,,,12/21/187,1873,12,21,Barnegat,,,,,Stranded,,,,,,179,,Philadelp,Virginia,"New York, NY",,6,,0,,,Wood,,,N,#13821,
John S Ingraham,,John Bird,Schooner,1870,"Rockland,",4/4/1879,1879,4,4,Sandy Hook Flynns Knoll,,,,,Stranded,,,116,29,11.6,293.91,276.26,"Rockland, ME",,,M M Packard,,,,,,,Sandy Ho,N,N,#75177; Refloated,
John S Smith,,,Tug steam,1872,Philadelp,4/28/1877,1877,4,28,Scotland Lightship,,,,,"Collision w/ pilot boat ""Mary E Fish #4""",,,,,,64.86,32.43,"New York, NY",,,,,,,,,,,N,N,#75395; Partial loss,
John Sherwood,,Henry R E,Brig,1863,"Saybrook,",10/27/188,1886,10,27,Chadwick SE .5 mi,,,,,Stranded,,,,,,516.22,490.44,Baltimore,"Bath, ME",Philadelp,E A Price,8,,0,"$5,000","$1,000",Ice and be,Chadwick,Y,N,#13133; Total loss,
John Silliman,,,Schooner,,,10/20/185,1859,10,20,Corsons I,,,39-12-10,74-38-30,Stranded,,,,,,,,,Baltimore,"New York, NY",,5,,,,,Coal,,Y,N,Total loss,
John Stradley,,,Schooner,,,3/25/1875,1875,3,25,Cape May Steamboat Landing,,,,,Foundered,,,,,,57,,"Philadelphia, PA",,,,,,,,,,,Y,N,Total loss,
John T Long,,,Schooner,1864,Frankford,12/7/1886,1886,12,7,Seabright LSS N 1.25 mi,,,,,Stranded,,,54.4,20,4.2,33.08,31.48,"New York,",Long Islan,Rockaway,Sullivan,0,,0,$800,,,Seabright,Y,N,#13727; Total loss; Washed ashore w/ no crew,
John T Neary,,,Schooner,,,11/29/181,1813,11,29,Deal Beach,,,,,Driven ashore by British Cruiser,,,,,,,,"New York, NY",,,,,,,,,Cotton; sugar,,Y,N,War loss,
John Taylor,,Porpoise,Steamship,,,11/5/1884,1884,11,5,Cape May LSS NW 1.5 mi,,,,,Grounded in gale,,,,,,32.29,19.73,"Norfolk, VA",,Fishing se,Marshall,4,,0,"$1,000",,None,,Y,N,#75948; Total loss,
John Thompson,,,Schooner,,,8/3/1868,1868,8,3,Hereford I,,,39-00-48,74-42-00,Stranded,,,,,,,,,"Portland,","Philadelphia, PA",,5,,,,,In ballast,,Y,N,Total loss,
John W Broomall,,,Schooner,,,5/2/1900,1900,5,2,East Rockaway Bay Debbs Inlet,,,,,Stranded,,US,,,,,,,Bridgepor,East Rock,S James H,3,0,0,"$1,200","$1,014",Seed oyst,Long Beach,,N,,
John W Fox (1885),,,Schooner,1881,"Milton, DE",10/4/1885,1885,10,4,Great Egg Harbor,,,,,Dismasted in storm,,,86.5,24,6,82,,"Miton, DE","Milton, DE","New York, NY",,4,,0,,,Pinewood,,N,N,#76266; Towed to NY,
John W Fox (1886),,,Schooner,1881,"Milton, DE",10/7/1886,1886,10,7,Absecon Inlet,,,,,Stranded,,,86.5,24,6,82,,Newcastl,"New York,",Atlantic Ci,Lekites,5,,0,"$8,000",$500,Bricks,Atlantic Ci,N,N,#76266; Refloated,
John W Fox (1888),,,Schooner,1881,"Milton, DE",5/14/1888,1888,5,14,Absecon Inlet,,,,,Stranded,,,86.5,24,6,82,,Newcastl,"New York,",Atlantic Ci,Bailey,5,,0,"$6,000",$600,Bricks,Atlantic Ci,N,N,#76266; Refloated,
John W Fox (1893),,,Schooner,1881,"Milton, DE",10/24/189,1893,10,24,Absecon Inlet,,,,,Grounded,,,86.5,24,6,82,,"Milton, DE","New York,",Atlantic Ci,Jones,4,,0,"$5,000",,,Great Egg,N,N,#76266; Refloated,
John W Fox (1899),,,Schooner,1881,"Milton, DE",10/1/1899,1899,10,1,Great Egg LSS WSW .75 mi,,,,,Stranded,,,86.5,24,6,82,,Wilmingt,Haverstra,"Longport,",Smith,4,,0,"$3,000",$480,Bricks,Great Egg;,N,N,#76266; Refloated,
John W Fox (1900),,,Schooner,1881,"Milton, DE",########,1900,6,29,Shark River NE 20 mi,,,,,Stranded,,,86.5,24,6,82,,"Wilmington, DE",,,Smith,4,,0,"$2,500",$400,,Shark Riv,Y,N,#76266; T,See scrapbooks 38 - 43 - Purple Misc
John W Garrett,,,Steamship,,,8/3/1918,1918,8,3,Delaware River,,,,,Collision w/ launch,,,,,,,,,,,,,,3,,,,,,N,,See scrapbooks 38 - 43 - Purple Misc
John W Hall Jr,,,Schooner,1874,Frederenc,12/3/1885,1885,12,3,Highlands of Navesink,,,,,Lost spars,Wood,,115.34,28.6,9,193,183.35,Wilmingt,St Augusti,"New York, NY",,,,,,,,,N,N,#75679,
John W Hunt,,Cann et al,Brig Half,1860,"Milford, D",4/16/1873,1873,4,16,Barnegat,,,,,Lost main boom in gale,,,,,10,218,,Philadelp,"Matanzas,","New York,",Cann,,,,,,,,N,N,,
John W Linnel,,,Schooner,1890,"Madison,",1/27/1896,1896,1,27,Avalon LSS E 1 mi,,,,,Stranded,,,193,35.4,18.2,995,945.18,"Boston, M",New Have,Philadelp,Handy,9,,0,"$32,000",,,Avalon &,N,N,#76918; Refloated,
John Willets,,,Schooner,,,1853,1853,,,Absecon beach,,,,,Stranded,,,,,,,,,Baltimore,"Boston, M",Robinson,,,1,,,,,Y,N,Total loss,
John Winton,,,Schooner,,,12/1846,1846,12,,Squan Beach,,,,,Capsized,,,,,,,,"Balston, NJ",,,,,,,,,,,Y,N,"Spotted upside down by ""J B Smith""",
John Wurts,,,Schooner,,,9/12/1846,1846,9,12,Woodlands,,,,,Filled with water,,,,,,,,"Great Egg Harbor, NJ",,,,,,,,,,,Y,N,,
Johnny Bu,46310,U S Coast,Buoy tend,1966,,9/9/1993,1993,9,9,Cape May,,,38-51-106,74-42-170,Explosive,Steel,US,46,14,6,,,NJ AR,CM,88,,,,,,,,,Y,Y,Sponsor - Artificial Reef Program,
Johnny Mesday,,Coleman,Deck barge,,,########,2006,11,28,Barnegat,,,39-45-079,74-01-445,Scuttled,Steel,US,40,,,,,NJ AR,BL,151,,,,,,,,,Y,Y,Sponsor - Kevin Coleman,
Joker II,,,Motor ves,1905,Friendshi,########,1920,4,27,Cape May,,,,,Foundere,Wood,,33.5,10.9,5.5,12,5,"Gloucester, MA",,Fishing service,,3,,0,,,,,,N,#203693,
Jonathan Bourne,,W C Thom,Schooner,1883,"Camden,",5/12/1886,1886,5,12,Absecon,,,,,"Collision w/ ""Celina""",,,169,35.5,17,673,,,"Salem, M",Philadelp,John Little,,,,,,,,N,N,#76455; Slight damage,
Jonathan Sawyer,,B Frank N,Schooner,1886,"Bath, ME",3/19/1896,1896,3,19,Sandy Hook SE .75 mi,,,,,Stranded,Wood,US,140,33.3,10.3,399.15,378.2,Portsmou,"Macoris,","New York,",Reynolds,7,,0,"$12,000","$30,000",500 ton su,Sandy Ho,N,N,#76617; Refloated,
Jonesport,,Southern,Barge,1919,,########,1937,2,18,,,,38-17-33,75-00-00,Foundere,Wood,,,,,1322,1174,Philadelp,"Norfolk, V",Allyns Poi,Anderson,4,,0,"$27,500",,1995 ton coal,,Y,N,#218181; Total loss,
Jordan (1878),,,Sloop,1868,Patchogu,11/9/1878,1878,11,9,Corsons Inlet bar,,,,,Grounded,,,45,17.5,5,25.92,24.62,Patchogu,James Riv,Pleasantv,Leeds,3,,0,,,Oysters,Ludlums B,N,N,#13843; Refloated,
Jordan (1887),,,Sloop,1868,Patchogu,10/23/188,1887,10,23,Barnegat Light,,,,,Grounded,,,45,17.5,5,25.92,24.62,Somers P,"New York,",Great Egg,Tilton,3,,0,"$1,000",$100,Coal,,N,N,#13843; Refloated,
Jordan (1898),,,Sloop,1868,Patchogu,11/9/1898,1898,11,9,Great EggLSS WSW 2 mi,,,,,Stranded,,,45,17.5,5,25.92,24.62,Somers P,James Riv,Pleasantv,Leeds,2,,0,"$1,000",$230,,,N,N,#13843; Refloated,
Jose E More,,Waydell,Bark,1875,Damarisc,12/6/1885,1885,12,6,Barnegat SE 8 mi,,,,,"Collision w/ ""Pomona""",,,134,30.7,15.7,421,,"New York,","Matanzas,","New York,",Carlisle,,,,,,,,N,N,#75803; Heavily damaged,
Joseph Allen (1907),,,Schooner,1865,Accomac,########,1907,9,27,Little Egg LSS SE .75 mi,,,,,Stranded,,,74.5,24.1,5.6,56,39,Newport,James Riv,"New York, NY",,4,,0,"$2,500",$500,Lumber,Little Egg,N,N,#13956; Refloated,
Joseph Allen (1910),,,Schooner,1865,Accomac,########,1910,4,10,Little Egg Harbor LSS N 1 mi,,,,,Grounded,,,74.5,24.1,5.6,56,39,Newport,Chincotea,"West Creek, NJ",,3,,0,"$2,000",$700,Oysters,Little Egg,N,N,#13956; Refloated,
Joseph an,Joseph Franklin,,Schooner,1874,,6/9/1881,1881,6,9,Hereford Inlet,,,,,"Collision w/ ""Pottsville""",,,,,,1283,,"New York, NY",,,,,,0,"$158,000",,,,Y,N,"Crew rescued by ""Pottsville""; Drifted to Cape Henlopen",
Joseph Banigan,,Robert Gil,Brig,1840,Carnarvon,3/24/1891,1891,3,24,Long Branch LSS N .25 mi,,,,,Stranded i,Wood,England,97.2,24.4,12.3,200,177,,"Jamaica,","Havre, Fra",Lyons,10,,1,"$7,500","$4,500",200 tons l,Long Bran,Y,N,#4192; Ship total loss; cargo saved,
Joseph Crandall,,,Schooner,,,12/19/186,1865,12,19,"Long Branch, NJ",,,,,Wrecked,,,,,,166,,"Fall River,",Georgeto,"New York,",George R,5,,,,,,,,N,,
Joseph E Hooper,,Eastern Tr,Schooner,1921,,########,1945,11,15,Fenwick I,,,38-27-59,74-58-50,Foundere,Wood,,267,46,,2233,,,,,,,,,,,3464 ton coal,,,N,,
Joseph Eastburn (1825),,,Brig,,,6/1825,1825,6,,Cape May,,,,,Grounded in gale,,,,,,,,,,,,,,,,,,,N,N,Refloated,
Joseph Eastburn (1826),,,Brig,,,2/1826,1826,2,,Cape May,,,,,Lost anchors & cables,,,,,,,,,,,,,,,,,,,N,N,Manned by pilots; Put into Cape May,
Joseph F Baker,,C S Stillw,Schooner,1874,Kennebu,12/31/188,1881,12,31,Townsends Inlet South bar,,,,,Stranded,,,,,,463.55,440.38,Sag Harbo,"New York,",Baltimore,Davies,8,,0,"$2,500",,In ballast,Townsen,N,N,#75654; Refloated,
Joseph F Loubat #16,,New York,Pilot scho,1880,Toltenvill,4/25/1888,1888,4,25,Sandy Hook bar,,,,,"Collision w/ ""Santiago""",,,80.4,21.5,9.1,67,,,"New York,","Nassau, B",Comfort,,,,,,,,Y,N,#76172; Total loss,
Joseph Fish,,S Watts,Ship,1866,Thomasto,10/4/1877,1877,10,4,Sandy Hook E 70 mi,,,,,Damaged in gale,,,188,39,24,1262,,Thomasto,"New York,","Antwerp,",F W Stackpole,,,,,,,,N,N,#13592; Returned to NY,
Joseph Holmes (1867),,,Schooner,,,5/8/1867,1867,5,8,"Surf City, Great Swamp",,,,,Stranded,,,,,,220,,,,,Ben Bowker,,,2,,,,,,N,,
Joseph Holmes (1868),,,Schooner,1854,Forked Ri,3/1868,1868,3,,Squan Beach,,,,,Stranded,,,90,29,10,174,,,James Riv,"New York,",Auson,9,,3,,,Wood,,,N,,
Joseph Huddle,,,Huddle,,,2/24/1873,1873,2,24,Pecks Beach,,,,,Stranded,,,,,,329,,Mauriceto,Baltimore,"Boston, M",Sharp,7,,0,"$20,000","$3,000",Coal,Beazleys,N,N,Refloated,
Joseph J Pharo (1888,,Joseph J P,Schooner,1867,,2/28/1888,1888,2,28,Cape Henlopen E 6 mi,,,,,Lost anch,Wood,US,,,,248.09,,Tuckerton,Wilmingt,Virginia,E C Predm,7,,,"$5,000",,None,,N,N,,
Joseph J Pharo (1889,,Joseph J P,Schooner,1867,,7/31/1889,1889,7,31,Sandy Hook SE 16 mi,,,,,Collision,Wood,US,,,,248.09,,Tuckerton,James Riv,"New York,",E C Predm,6,,,"$5,000","$1,100",Pine wood,,N,N,Towed to NY,
Joseph James,,,Schooner,,,1838 - 187,1860,,,Squan Inlet S 9.5 mi,,,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
Joseph L Bewley,,,Schooner,,,2/1867,1867,2,,Barnegat Inlet N,,,,,,,,,,,,,,,,Lowell,5,,0,,,,,,N,,
Joseph Long,,T R Lyman,Schooner,1861,,3/15/1870,1870,3,15,Deal Beach,,,,,Stranded,,,94,26,8,158,,"Portland,","Kingston,","New York,",E R Perry,5,,3,,,Coffee & Logwood,,,N,,
Joseph P Cake,,,Schooner,,,11/1/1878,1878,11,1,Hereford Light SW,,,,,Foundered,,,,,,166,,"Camden,","New York,",Baltimore,Enoch,6,,0,"$4,000","$6,000",Guano,Hereford #36,,N,,
Joseph Porter,,Charles A,Schooner,,,4/9/1889,1889,4,9,Absecon bar,,,,,Struck bar,,,,,,160.3,,"Camden,","Camden,",Atlantic Ci,Benjamin,6,,0,"$5,000","$1,500",Stone,,Y,N,#13888; Sprang leak: sunk,
Joseph T Brenan,,,Motor ves,1883,,########,1929,1,19,,,,,,Burned,,,,,,27,,"Maurice River, NJ",,,,3,,0,,,,,,N,#76422,
Joseph W Pharo,,Couseque,Schooner,1849,Tuckerton,1856,1856,,,Cape May,,,38-55-47,74-55-00,Stranded,,,,,10,,,"Tuckerton, NJ",,,,5,,,,,,,,N,,
Joseph W Webster,,,Schooner,,,4/10/1864,1864,4,10,Long Beach Island,,,,,Grounded,,,,,,,,,,,,,,,,,,,,N,,
Joseph Weir,,F M Pears,Bark,1865,Londonde,4/20/1871,1871,4,20,Long Beach Island,,,,,Leaking; Abandoned,,England,,,15,542,,Londonde,"Matanzas,","New York,",Pearson,,,,,,"777 hogsheads, 200 boxes suga",,,N,,
Josephine (1840),,,Schooner,,,5/9/1840,1840,5,9,Two Mile,,,38-57-18,74-51-00,Stranded,,,,,,,,"Tuckerton, NJ",,,,5,,0,,,,,,N,,
Josephine (1855),,,Schooner,,,1/1/1855,1855,1,1,Absecon Beach,,,,,Grounded,,,,,,,,,Tangier,"Boston, MA",,,,0,,,,,,N,,
Josephine (1886),,Joseph Mi,Schooner,1880,Philadelp,8/3/1886,1886,8,3,Hereford Light,,,,,Collision,Iron,US,129.3,34,10.5,365.75,347.45,Philadelp,"Bath, ME",Philadelp,N B Encor,7,,0,"$16,000",$800,620 ton Ice,,N,N,#76126; Minor damage,
Josephine (1898),,N B Shoe,Schooner,1880,Philadelp,11/8/1898,1898,11,8,Absecon E,,,,,Damaged,Iron,US,129.3,34,10.5,365.75,347.45,Philadelp,"Irvington,",Philadelp,Thomas A,7,,0,"$12,000",$0,None,,N,N,#76126; Minor damage,
Josiah J Johnson,,,Pilot boat,,,3/6/1869,1869,3,6,,,,,,"Collision w/ ""Wanata""",,,,,,,,,,Pilot service,,,,0,,,,,Y,N,Sank,
Josie R Burt,,J H Church,Schooner,1882,"Bath, ME",########,1911,8,30,Bonds LSS NE 25 mi,,,,,Foundered,,,167.8,35.3,15.2,760,722,"New York,",Baltimore,"Belfast, Ireland",,9,,0,"$12,000","$2,000",Guano,Bonds #9,Y,N,#76339; Total loss,
Judge Baker (1851),,,Schooner,1845,,11/14/185,1851,11,14,Barnegat,,,,,Capsized,,,,,,,,,,,,,,,,,,,N,N,Crew saved,
Judge Baker (1855),,,Schooner,1845,,10/21/185,1855,10,21,Squan Inl,,,40-01-42,74-03-00,Foundered,,,,,,,,,,,Bogart,5,,5,,,Logwood,,Y,N,Crew lost,
Judge Hitchcock,,,Schooner,,,10/18/184,1846,10,18,Long Beach Island,,,,,Grounded,,,,,,,,,Charlesto,Alexandri,Hathaway,,,0,,,,,Y,N,Total loss,
Juiniata,South Car,George W,Schooner,1860,"Boston, M",########,1902,2,17,Sandy Hook,,,,,Foundere,Iron,,206.5,34.8,16.6,1244,,Philadelp,Newport,Providenc,H J Clark,6,,0,"$18,000","$6,000",1700 ton coal,,Y,N,"#13425; Total loss; Previously ""South Carolina""",
Julia (1841),,,Bark,,,3/16/1841,1841,3,16,"Point Pleasant, NJ",,,,,Grounded,,,,,,,,Providenc,"Mobile, A","New York,",Rhea,,,,,,Cotton,,,N,,
Julia (1870),,,Schooner,,,6/17/1870,1870,6,17,Seabright LSS,,,,,Wrecked,,,,,,,,,Baltimore,"Augusta,",Duval,5,,0,,,,Seabright #3,,N,,
Julia (1882),,Dickson,Schooner,,,2/4/1882,1882,2,4,Barnegat Inlet,,,,,Grounded in storm,,,,,,11,,Tuckerton,"New York,",Atlantic Ci,Dickson,2,,0,$800,$125,laths,Barnegat,N,N,Refloated,
Julia (1884),,,Brig,,,1884,1884,,,Brigantin,,,39-23-00,74-23-30,Stranded,,Netherlands,,,,,,,,,,,,,,,Holland gin,,,N,,
Julia A Berkele,,H W Bene,Schooner,1866,Fairhaven,5/3/1879,1879,5,3,Barnegat LSS ENE 1 mi,,,,,Stranded,,,105.5,25,7.9,169,160,Bridgepor,Saugertie,Washingt,Prett,6,,,,,Curbston,Barnegat,N,N,#13025; Refloated,
Julia A Berkele,,C Jenning,Schooner,1866,East Have,4/25/1899,1899,4,25,Ocean City LSS E 1 mi,,,,,Stranded,Wood,US,105.5,25,7.9,168.86,,Southport,"New York,","Norfolk, V",Charles M,5,,0,"$2,500",$0,None,Ocean Cit,N,N,#13025; Refloated,
Julia A Crawford,,,Schooner,1864,Glenwoo,4/29/1884,1884,4,29,Tathams Beach,,,,,Stranded,,,,,,181,172,Port Jeffe,"New York,",Philadelp,Smith,5,,0,"$2,000",,In ballast,Townsen,Y,N,#13467; Total loss,
Julia A Reid,,,Sloop,1879,"Absecon,",8/15/1881,1881,8,15,Absecon Inlet South bar,,,,,Stranded,,,,,,11,,"Somers Point, NJ",,,Steelman,12,,0,"$1,000",,,Atlantic Ci,N,N,#76082; Refloated,
Julia A Rider,,,Schooner,1864,Port Jeffe,2/27/1874,1874,2,27,Five Fathoms Bank Lightship SE,,,,,Leaking; Abandoned,,US,,,9,242,,Port Jeffe,Woods Ho,Richmond,Kelley,,,,,,Guano,,Y,N,Total loss,
Julia No 15,,,Pilot boat,,,10/11/0185,1856,10,11,Sandy Hook,,,,,"Collision w/ ""Anthony B Neilson""",,,,,,,,,,,,,,0,,,,,Y,N,Total loss,
Julia R Dempsey,,,Schooner,1904,,########,1913,8,29,"Winter Quarter Lightship, NJ",,,,,Foundered,,,,,,833,,,,,,3,,0,,,,,,N,#200751,
Julian Nelson,,,Schooner,1867,Tuckerton,12/18/189,1890,12,18,Turtle Gut Inlet North bar,,,,,Stranded,,,112,29.7,8.9,210,,New Bedf,New Bedf,Philadelp,Benson,6,,0,"$6,000","$4,000",Lumber,Turtle Gut,N,N,#75133; Considerable damage,
Julie,,,Schooner,,,2/25/1881,1881,2,25,Absecon LSS ENE .5 mi,,,,,Leaking badly,,,,,,,,"Somers Point, NJ",,,,2,,,,,,Absecon #,N,N,Piloted into Absecon Inlet,
Julien,,,Schooner,1865,"Calais, ME",11/3/1888,1888,11,3,Sandy Hook Romer Shoal,,,,,Stranded,,,93,23.8,8.5,164,,San Domi,Compachi,"New York,",Groninger,6,,0,"$10,000","$8,000","Logwood, hides & h",,N,N,Refloated,
Julius Caesar,,,Sailing ship,,,11/22/183,1833,11,22,Barnegat Inlet S 5 mi,,,,,Stranded,Wood,England,,,,,,,"Newport,","New York, NY",,,,0,,,,,Y,N,Total loss,
Juniata,,,,1848,,9/26/1889,1889,9,26,"Penns Grove, NJ",,,,,Burned,,,,,,231,,,,,,,,,,,,,,N,,
Junius,,,Brig,,,12/1817,1817,12,,Cape May,,,,,Blown out to sea,,,,,,,,,St Salvador,,,,,,,,,,Y,N,,
Juno (180,34 gun Frigate,,Frigate,,,10/27/180,1802,10,27,Cape May,,,38-52-29,74-25-00,Foundere,Wood,Spain,,,,,,,Mexico,Spain,,425,,425,,"$300,000",Silver ingots from V,,Y,N,Treasure s,"Also see ""Bremen"", ""Main"", ""Saale"""
Juno (1841),,,Schooner,,,3/14/1841,1841,3,14,Brigantine Beach East end,,,,,Stranded in gale,,,,,,,,,Alexandri,"Boston, M",Mayo,,,,,,,,N,N,Probably refloated,
Juno (1916),,,Steamshi,1888,Hartlepoo,########,1916,12,15,Little Egg Inlet,,,,,Stranded i,Steel,Norway,300,38.5,20.6,2416,1546,"Larvik, Norway",,,,23,,0,"$310,000",,,"Sta #120,",N,N,"Refloated; Aided by USCG ""Mohawk""",
Jupiter (1769),,,Brig,,,12/20/176,1769,12,20,Sandy Hook Horseshoe Cove,,,,,Stranded; sank,,,,,,,,,"New York,","Dublin, Ir",Byers,,,,,,Flax seed,,N,N,Refloated,
Jupiter (1783),,,Merchantman,,,9/19/1783,1783,9,19,Cape May,,,,,Lost in gale,,,,,,,,,"Jamaica,","New York,",Rumage,,,2,,,,,Y,N,Total loss,
Jurgen Wilhelm,,,Brig,,,1/1857,1857,1,,Brigantine Shoal,,,,,Stranded,,Germany,,,,,,"Oldenburg, Germany",,,,,,,,,,,Y,N,Total loss,
Just Us,,Jocam Inc,Yacht mot,1933,"Bayonne,",########,1976,10,9,Brigantine Beach E 2 mi,,,,,Foundere,Wood,US,56.5,14.5,6.5,43,35,"New York, NY",,,,,,,"$2,800",,,,,N,#232181,
K-16,,U S Navy,Blimp,,,########,1943,10,16,Island Beach,,,,,Collision,Blimp,US,290,,,,,Lakehurst,Lakehurst,Patrol duty,,11,,11,,,,,Y,N,"Total loss; No damage to ""K-5""",
Kaieteur,,"Steel, You",Bark stea,1876,Hartlepoo,9/18/1879,1879,9,18,Brigantine Shoal,,,,,Stranded,,England,230,31.8,17.4,803,,"London, England",,,Leash,,,,,,,,N,N,Refloated,
Kaiser Wilhem Der G,,North Ger,Passenger,1897,"Stetin, Ge",########,1900,6,30,"Hoboken, NJ",,,,,Burned,Steel,Germany,649,66,39,14349,,"Breman, Germany",,"New York, NY",,,,,,,,,N,N,Only slight damage,
Kamikawa Maru,,Kawasaki,Freighter,1951,"Kobe, Jap",########,1966,6,10,Ambrose Lightship,,,,,Collision,Steel,Japan,515,64,27.35,9632,5529,"Kobe, Japan",,"New York, NY",,,,0,,,,,N,N,Damaged; Repaired,
Kanised,,,Yacht,1909,,########,1922,3,30,"Morris Heights, NJ",,,,,Burned,,,,,,61,,,,,,0,,0,,,,,,N,#206548,
Karina T,,Karina T C,Fishing bo,1954,"Beno, VA",3/8/1962,1962,3,8,Barnegat,,,,,Missing in,Wood,US,73.3,20.2,8.1,81,55,Philadelp,Pt Pleasa,Fishing se,Carl Jergo,7,,7,,,"15,000 lbs fish",,Y,N,#268897; Found on Chincoteague Is Beach 3/11/1962,
Karlanna,,,Steamshi,1906,,########,1920,1,19,Cold Spring Inlet,,,,,Stranded,Wood,,,,,178,,,,,,8,,0,,,,,Y,N,#203280; Total loss,
Karnak,,,Sailboat,1896,,########,1966,11,1,Surf City 12th Street,,,,,Grounded,,,50,,,,,,,,,3,,0,,,Illegal nar,Barnegat,Y,N,Total loss,
Katahdin,,,Brig,1864,"Brewer,",10/16/189,1894,10,16,Cape May Prissy Wicks Shoal,,,,,Stranded,,,112.5,27.3,9.3,213,203,"Bangor, M","Bangor, M",Philadelp,Phillips,6,,0,"$2,000","$1,800",Laths,,N,N,#14015; Refloated; Towed to Philadelphia,
Kate,,,Sloop,,,2/19/1879,1879,2,19,Loveladies,,,,,Stranded,,,,,,,,,,,,,,,,,Oysters,District 4,N,N,Refloated,
Kate Becker,,,Sloop,1875,West Cre,12/15/188,1883,12,15,Absecon Inlet North shoal,,,,,Stranded,,,35.7,12.5,3.2,7.31,6.94,Somers P,"New York,","Absecon,",Blackman,2,,0,$700,$100,Potatoes,,N,N,#14430; Refloated,
Kate Brigham,,Thomas D,Schooner,1853,Greenpoi,12/20/186,1864,12,20,"Highlands, Wardells Beach S 1",,,,,Grounded,Oak,,131,30.3,12.1,546,,"New York,",New Orle,"New York, NY",,,,,,,Flour,,,N,#2844,
Kate Dyer,,J W Dyer,Ship,1855,Cape Eliza,12/1/1866,1866,12,1,Fire Island S 10 mi,,,,,"Collision w/ ""Scotland""",,,190,38.6,24,1278,,"Portland,","Liverpool,","New York, NY",,,,,,,Cotton,,Y,N,Both ships sank,
Kate E Gifford,,R H Willia,Schooner,1874,Mays Lan,12/28/188,1883,12,28,Sandy Hook NW 1 mi,,,,,Stranded,,,126.5,32.8,9.6,419.86,398.87,Somers P,Baltimore,Bridgepor,T H Wright,7,,0,"$12,000","$2,500",577 ton co,Sandy Ho,N,N,#143154; Refloated,
Kate E Morse,,,Schooner,,,9/11/1889,1889,9,11,Delaware Bay,,,,,Lost,,,,,,,,,,,,,,,,,,,Y,N,,
Kate Foster,,Simpson,Schooner,1866,Cherryfiel,6/1891,1891,6,,New Jers,,,39-24-00,73-05-00 W,,Wood,,93.8,26.2,8,159,,"New York, NY",,,,,,,,,,,N,N,#107; A floating derelict,
Kate Kallahan,,,Schooner,1853,Philadelp,5/20/1888,1888,5,20,Little Egg Harbor S 2 mi,,,,,Stranded,,,94,21,7.1,106,100.52,Cold Sprin,Little Egg,Baltimore,Cropper,4,,0,"$2,500","$1,600",Guano,Little Egg,N,N,#14141; Refloated,
Kate Lawson,,,Schooner,,,5/12/1874,1874,5,12,Sandy Hook,,,,,"Collision w/ ""Wyoming""",,,,,,,,,Virginia,"New York, NY",,,,,,,,,,N,,
Kate Markee,,,Schooner,1880,"Bath, ME",4/12/1890,1890,4,12,Spermaceti Cove LSS S 1.5 mi,,,,,Stranded,,US,142.8,34.2,14.8,503.77,478.58,"Fall River,","Fall River,",Philadelp,Daniel H,7,,7,"$12,000","$28,000",Stone,Spermace,Y,N,#14368; Broke up; Total loss,
Kate Newman,,,Schooner,1874,"Tremont,",2/2/1880,1880,2,2,Monmout,,,40-25-30,73-58-00,"Collision w/ ""Stephen Harding""",,,97,27.6,8,146,,"Tremont,",Baltimore,"Davenport, MA",,5,,4,,,Coal,,Y,N,#14302; T,See scrapbooks 38 - 43 - Purple Misc
